,_step,env_step,episode,episode_reward,time,env,seed,agent
3,69,76000.0,75,36.494082579990355,180.0401201248169,acrobot-swingup,9234,TD3
4,95,101000.0,100,33.86032765761508,247.08054184913635,acrobot-swingup,9234,TD3
5,121,126000.0,125,75.28786857217369,316.3836328983307,acrobot-swingup,9234,TD3
6,147,151000.0,150,140.9374046375557,384.23413014411926,acrobot-swingup,9234,TD3
7,173,176000.0,175,156.09720892826255,452.1148681640625,acrobot-swingup,9234,TD3
8,199,201000.0,200,88.07599669460696,521.9885890483856,acrobot-swingup,9234,TD3
9,225,226000.0,225,164.49502086273722,591.6829671859741,acrobot-swingup,9234,TD3
10,251,251000.0,250,141.05521754771513,660.5053420066833,acrobot-swingup,9234,TD3
11,277,276000.0,275,170.8836352955795,728.6485061645508,acrobot-swingup,9234,TD3
12,303,301000.0,300,227.66286077815548,798.3024506568909,acrobot-swingup,9234,TD3
13,329,326000.0,325,204.9514524862861,867.115930557251,acrobot-swingup,9234,TD3
14,355,351000.0,350,270.2354732651198,934.9311056137085,acrobot-swingup,9234,TD3
15,381,376000.0,375,272.45651213729815,1004.7887902259827,acrobot-swingup,9234,TD3
16,407,401000.0,400,234.7750085822484,1073.3373370170593,acrobot-swingup,9234,TD3
17,433,426000.0,425,117.76565490335888,1142.9127690792084,acrobot-swingup,9234,TD3
18,459,451000.0,450,300.18152837004226,1212.7069294452667,acrobot-swingup,9234,TD3
19,485,476000.0,475,269.6996141123931,1280.63263297081,acrobot-swingup,9234,TD3
20,511,501000.0,500,367.15968326912395,1348.080879688263,acrobot-swingup,9234,TD3
21,537,526000.0,525,242.1406682275846,1417.7798495292664,acrobot-swingup,9234,TD3
22,563,551000.0,550,420.0988074042716,1485.6515707969666,acrobot-swingup,9234,TD3
23,589,576000.0,575,396.11697960851495,1554.8794901371002,acrobot-swingup,9234,TD3
24,615,601000.0,600,369.0907597479624,1624.654004573822,acrobot-swingup,9234,TD3
25,641,626000.0,625,224.00794202776092,1693.5646789073944,acrobot-swingup,9234,TD3
26,667,651000.0,650,496.6280853982603,1761.2264006137848,acrobot-swingup,9234,TD3
27,693,676000.0,675,313.4959566612284,1829.9054822921753,acrobot-swingup,9234,TD3
28,719,701000.0,700,372.8902674010522,1899.6451604366302,acrobot-swingup,9234,TD3
29,745,726000.0,725,392.4222842030492,1968.4244437217712,acrobot-swingup,9234,TD3
30,771,751000.0,750,326.4782467110209,2037.2209577560425,acrobot-swingup,9234,TD3
31,797,776000.0,775,331.3003793867477,2105.156197309494,acrobot-swingup,9234,TD3
