,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name,utd_ratio
109,18928,560000,0,886.0829565126973,0,0,0,quadruped-run,1,iQRL,1
110,19100,565000,0,903.4087673124566,0,0,0,quadruped-run,1,iQRL,1
111,19272,570000,0,894.745277148101,0,0,0,quadruped-run,1,iQRL,1
112,19444,575000,0,879.1578594453109,0,0,0,quadruped-run,1,iQRL,1
113,19616,580000,0,897.002159891359,0,0,0,quadruped-run,1,iQRL,1
114,19788,585000,0,884.9841183047189,0,0,0,quadruped-run,1,iQRL,1
115,19960,590000,0,873.1961106888818,0,0,0,quadruped-run,1,iQRL,1
116,20132,595000,0,908.4437060095952,0,0,0,quadruped-run,1,iQRL,1
117,20304,600000,0,885.7479420277726,0,0,0,quadruped-run,1,iQRL,1
118,20476,605000,0,906.7800373683451,0,0,0,quadruped-run,1,iQRL,1
119,20648,610000,0,908.829291923996,0,0,0,quadruped-run,1,iQRL,1
120,20820,615000,0,899.3106963275583,0,0,0,quadruped-run,1,iQRL,1
121,20992,620000,0,895.1259135047964,0,0,0,quadruped-run,1,iQRL,1
122,21164,625000,0,883.0958046441083,0,0,0,quadruped-run,1,iQRL,1
123,21336,630000,0,901.634510562569,0,0,0,quadruped-run,1,iQRL,1
124,21508,635000,0,911.9642711095424,0,0,0,quadruped-run,1,iQRL,1
125,21680,640000,0,906.0635478782817,0,0,0,quadruped-run,1,iQRL,1
126,21852,645000,0,909.7969927383198,0,0,0,quadruped-run,1,iQRL,1
127,22024,650000,0,909.4985655643628,0,0,0,quadruped-run,1,iQRL,1
128,22196,655000,0,913.7709505896084,0,0,0,quadruped-run,1,iQRL,1
129,22368,660000,0,906.377166187967,0,0,0,quadruped-run,1,iQRL,1
130,22540,665000,0,904.7035880527226,0,0,0,quadruped-run,1,iQRL,1
131,22712,670000,0,890.1922384252306,0,0,0,quadruped-run,1,iQRL,1
132,22884,675000,0,920.8139206761261,0,0,0,quadruped-run,1,iQRL,1
133,23056,680000,0,901.5238279088342,0,0,0,quadruped-run,1,iQRL,1
134,23228,685000,0,883.6488997113192,0,0,0,quadruped-run,1,iQRL,1
135,23400,690000,0,911.1666677345493,0,0,0,quadruped-run,1,iQRL,1
136,23572,695000,0,908.8456083362922,0,0,0,quadruped-run,1,iQRL,1
137,23744,700000,0,909.3244362298632,0,0,0,quadruped-run,1,iQRL,1
138,23916,705000,0,903.3605137280829,0,0,0,quadruped-run,1,iQRL,1
139,24088,710000,0,899.0969549327158,0,0,0,quadruped-run,1,iQRL,1
140,24260,715000,0,865.7852382798097,0,0,0,quadruped-run,1,iQRL,1
141,24432,720000,0,889.2713215005002,0,0,0,quadruped-run,1,iQRL,1
142,24604,725000,0,901.7787305377424,0,0,0,quadruped-run,1,iQRL,1
143,24776,730000,0,909.7307466642436,0,0,0,quadruped-run,1,iQRL,1
144,24948,735000,0,910.0208091195673,0,0,0,quadruped-run,1,iQRL,1
145,25120,740000,0,901.1468384178588,0,0,0,quadruped-run,1,iQRL,1
146,25292,745000,0,916.6659765887773,0,0,0,quadruped-run,1,iQRL,1
147,25464,750000,0,923.936193378712,0,0,0,quadruped-run,1,iQRL,1
148,25636,755000,0,896.5406513602472,0,0,0,quadruped-run,1,iQRL,1
149,25808,760000,0,915.5533203428611,0,0,0,quadruped-run,1,iQRL,1
150,25980,765000,0,908.2089219151181,0,0,0,quadruped-run,1,iQRL,1
151,26152,770000,0,910.9636830870877,0,0,0,quadruped-run,1,iQRL,1
152,26324,775000,0,919.4844133802223,0,0,0,quadruped-run,1,iQRL,1
153,26496,780000,0,892.7319034467567,0,0,0,quadruped-run,1,iQRL,1
154,26668,785000,0,910.2624929886952,0,0,0,quadruped-run,1,iQRL,1
155,26840,790000,0,908.2612288557342,0,0,0,quadruped-run,1,iQRL,1
156,27012,795000,0,884.8291305535735,0,0,0,quadruped-run,1,iQRL,1
157,27184,800000,0,892.220394695815,0,0,0,quadruped-run,1,iQRL,1
158,27356,805000,0,889.4534904586617,0,0,0,quadruped-run,1,iQRL,1
159,27528,810000,0,898.7471653844229,0,0,0,quadruped-run,1,iQRL,1
160,27700,815000,0,895.2047430627514,0,0,0,quadruped-run,1,iQRL,1
161,27872,820000,0,906.7720213270892,0,0,0,quadruped-run,1,iQRL,1
162,28044,825000,0,920.2382336611045,0,0,0,quadruped-run,1,iQRL,1
163,28216,830000,0,920.3580721028848,0,0,0,quadruped-run,1,iQRL,1
164,28388,835000,0,909.1921983698616,0,0,0,quadruped-run,1,iQRL,1
165,28560,840000,0,922.4081206076764,0,0,0,quadruped-run,1,iQRL,1
166,28732,845000,0,900.9092527887057,0,0,0,quadruped-run,1,iQRL,1
167,28904,850000,0,921.4828752591508,0,0,0,quadruped-run,1,iQRL,1
168,29076,855000,0,925.828987337061,0,0,0,quadruped-run,1,iQRL,1
169,29248,860000,0,938.1798035907399,0,0,0,quadruped-run,1,iQRL,1
170,29420,865000,0,917.1253029039013,0,0,0,quadruped-run,1,iQRL,1
171,29592,870000,0,910.7867186106974,0,0,0,quadruped-run,1,iQRL,1
172,29764,875000,0,907.6127319910214,0,0,0,quadruped-run,1,iQRL,1
173,29936,880000,0,914.5567339057452,0,0,0,quadruped-run,1,iQRL,1
174,30108,885000,0,916.3051314750744,0,0,0,quadruped-run,1,iQRL,1
175,30280,890000,0,929.2694034217857,0,0,0,quadruped-run,1,iQRL,1
176,30452,895000,0,916.0915632495074,0,0,0,quadruped-run,1,iQRL,1
177,30624,900000,0,898.4442754126358,0,0,0,quadruped-run,1,iQRL,1
178,30796,905000,0,913.8631133243907,0,0,0,quadruped-run,1,iQRL,1
179,30968,910000,0,880.1683758813131,0,0,0,quadruped-run,1,iQRL,1
180,31140,915000,0,932.9891590548563,0,0,0,quadruped-run,1,iQRL,1
181,31312,920000,0,885.3190999433631,0,0,0,quadruped-run,1,iQRL,1
182,31484,925000,0,934.7373299590079,0,0,0,quadruped-run,1,iQRL,1
183,31656,930000,0,925.4672238301952,0,0,0,quadruped-run,1,iQRL,1
184,31828,935000,0,903.4783485269639,0,0,0,quadruped-run,1,iQRL,1
185,32000,940000,0,904.3709506044703,0,0,0,quadruped-run,1,iQRL,1
186,32172,945000,0,912.9716299413645,0,0,0,quadruped-run,1,iQRL,1
187,32344,950000,0,905.7231584501685,0,0,0,quadruped-run,1,iQRL,1
188,32516,955000,0,898.7666914522036,0,0,0,quadruped-run,1,iQRL,1
189,32688,960000,0,911.4327475249069,0,0,0,quadruped-run,1,iQRL,1
190,32860,965000,0,914.5088939991329,0,0,0,quadruped-run,1,iQRL,1
191,33032,970000,0,899.7011566454719,0,0,0,quadruped-run,1,iQRL,1
192,33204,975000,0,917.7227769114252,0,0,0,quadruped-run,1,iQRL,1
193,33376,980000,0,924.7257641898002,0,0,0,quadruped-run,1,iQRL,1
194,33548,985000,0,901.1489981924445,0,0,0,quadruped-run,1,iQRL,1
195,33720,990000,0,916.8697605268186,0,0,0,quadruped-run,1,iQRL,1
196,33892,995000,0,902.2070472138294,0,0,0,quadruped-run,1,iQRL,1
0,180,15000,0,24.953406010758318,0,0,0,quadruped-run,5,iQRL,1
1,352,20000,0,100.2328660467374,0,0,0,quadruped-run,5,iQRL,1
2,524,25000,0,146.79028193070175,0,0,0,quadruped-run,5,iQRL,1
3,696,30000,0,143.4065741602273,0,0,0,quadruped-run,5,iQRL,1
4,868,35000,0,63.66520010458771,0,0,0,quadruped-run,5,iQRL,1
5,1040,40000,0,107.71476401630207,0,0,0,quadruped-run,5,iQRL,1
6,1212,45000,0,167.22081648700404,0,0,0,quadruped-run,5,iQRL,1
7,1384,50000,0,167.6572088904446,0,0,0,quadruped-run,5,iQRL,1
8,1556,55000,0,191.44916041994003,0,0,0,quadruped-run,5,iQRL,1
9,1728,60000,0,216.3468523264164,0,0,0,quadruped-run,5,iQRL,1
10,1900,65000,0,246.2926816543157,0,0,0,quadruped-run,5,iQRL,1
11,2072,70000,0,434.7550909810925,0,0,0,quadruped-run,5,iQRL,1
12,2244,75000,0,474.9329091186402,0,0,0,quadruped-run,5,iQRL,1
13,2416,80000,0,382.8538958877186,0,0,0,quadruped-run,5,iQRL,1
14,2588,85000,0,526.5259309371992,0,0,0,quadruped-run,5,iQRL,1
15,2760,90000,0,363.81343171643096,0,0,0,quadruped-run,5,iQRL,1
16,2932,95000,0,482.45090838265605,0,0,0,quadruped-run,5,iQRL,1
17,3104,100000,0,475.36617855488186,0,0,0,quadruped-run,5,iQRL,1
18,3276,105000,0,554.0725616190473,0,0,0,quadruped-run,5,iQRL,1
19,3448,110000,0,579.4151296410207,0,0,0,quadruped-run,5,iQRL,1
20,3620,115000,0,585.0282337526994,0,0,0,quadruped-run,5,iQRL,1
21,3792,120000,0,616.9151784149471,0,0,0,quadruped-run,5,iQRL,1
22,3964,125000,0,637.6927315166337,0,0,0,quadruped-run,5,iQRL,1
23,4136,130000,0,650.5949177560221,0,0,0,quadruped-run,5,iQRL,1
24,4308,135000,0,662.3228377596708,0,0,0,quadruped-run,5,iQRL,1
25,4480,140000,0,661.9413235057785,0,0,0,quadruped-run,5,iQRL,1
26,4652,145000,0,666.599502858246,0,0,0,quadruped-run,5,iQRL,1
27,4824,150000,0,680.8858649772825,0,0,0,quadruped-run,5,iQRL,1
28,4996,155000,0,691.9197881439875,0,0,0,quadruped-run,5,iQRL,1
29,5168,160000,0,686.8490911983769,0,0,0,quadruped-run,5,iQRL,1
30,5340,165000,0,699.990321761099,0,0,0,quadruped-run,5,iQRL,1
31,5512,170000,0,696.6389033345549,0,0,0,quadruped-run,5,iQRL,1
32,5684,175000,0,718.6969424611598,0,0,0,quadruped-run,5,iQRL,1
33,5856,180000,0,700.7252332023229,0,0,0,quadruped-run,5,iQRL,1
34,6028,185000,0,719.2126690449717,0,0,0,quadruped-run,5,iQRL,1
35,6200,190000,0,735.1324416670832,0,0,0,quadruped-run,5,iQRL,1
36,6372,195000,0,746.8639490015979,0,0,0,quadruped-run,5,iQRL,1
37,6544,200000,0,734.836445568921,0,0,0,quadruped-run,5,iQRL,1
38,6716,205000,0,736.2923320453905,0,0,0,quadruped-run,5,iQRL,1
39,6888,210000,0,744.7148975670774,0,0,0,quadruped-run,5,iQRL,1
40,7060,215000,0,763.7811181460194,0,0,0,quadruped-run,5,iQRL,1
41,7232,220000,0,729.1550666795113,0,0,0,quadruped-run,5,iQRL,1
42,7404,225000,0,746.6932935636069,0,0,0,quadruped-run,5,iQRL,1
43,7576,230000,0,761.326961121976,0,0,0,quadruped-run,5,iQRL,1
44,7748,235000,0,766.0955558481103,0,0,0,quadruped-run,5,iQRL,1
45,7920,240000,0,781.3369142065756,0,0,0,quadruped-run,5,iQRL,1
46,8092,245000,0,772.7229951659683,0,0,0,quadruped-run,5,iQRL,1
47,8264,250000,0,770.5450711279088,0,0,0,quadruped-run,5,iQRL,1
48,8436,255000,0,768.5176538755535,0,0,0,quadruped-run,5,iQRL,1
49,8608,260000,0,773.1109281621699,0,0,0,quadruped-run,5,iQRL,1
50,8780,265000,0,788.2491769458168,0,0,0,quadruped-run,5,iQRL,1
51,8952,270000,0,782.6287877932278,0,0,0,quadruped-run,5,iQRL,1
52,9124,275000,0,782.8336949965538,0,0,0,quadruped-run,5,iQRL,1
53,9296,280000,0,794.766039172007,0,0,0,quadruped-run,5,iQRL,1
54,9468,285000,0,806.6651366245467,0,0,0,quadruped-run,5,iQRL,1
55,9640,290000,0,807.1836590919702,0,0,0,quadruped-run,5,iQRL,1
56,9812,295000,0,802.5685802274995,0,0,0,quadruped-run,5,iQRL,1
57,9984,300000,0,804.0768492419447,0,0,0,quadruped-run,5,iQRL,1
58,10156,305000,0,816.5087962141727,0,0,0,quadruped-run,5,iQRL,1
59,10328,310000,0,824.2426642405305,0,0,0,quadruped-run,5,iQRL,1
60,10500,315000,0,817.5966369872913,0,0,0,quadruped-run,5,iQRL,1
61,10672,320000,0,818.280579528131,0,0,0,quadruped-run,5,iQRL,1
62,10844,325000,0,812.1263840018539,0,0,0,quadruped-run,5,iQRL,1
63,11016,330000,0,815.5605046370868,0,0,0,quadruped-run,5,iQRL,1
64,11188,335000,0,821.3473707492755,0,0,0,quadruped-run,5,iQRL,1
65,11360,340000,0,821.7487123223021,0,0,0,quadruped-run,5,iQRL,1
66,11532,345000,0,804.752532681526,0,0,0,quadruped-run,5,iQRL,1
67,11704,350000,0,835.0074607353657,0,0,0,quadruped-run,5,iQRL,1
68,11876,355000,0,819.9437895648647,0,0,0,quadruped-run,5,iQRL,1
69,12048,360000,0,836.996678114403,0,0,0,quadruped-run,5,iQRL,1
70,12220,365000,0,827.4048649670964,0,0,0,quadruped-run,5,iQRL,1
71,12392,370000,0,846.2375044274697,0,0,0,quadruped-run,5,iQRL,1
72,12564,375000,0,843.3361818420701,0,0,0,quadruped-run,5,iQRL,1
73,12736,380000,0,853.6516120008164,0,0,0,quadruped-run,5,iQRL,1
74,12908,385000,0,846.523648193496,0,0,0,quadruped-run,5,iQRL,1
75,13080,390000,0,846.4646318626125,0,0,0,quadruped-run,5,iQRL,1
76,13252,395000,0,831.5001104429015,0,0,0,quadruped-run,5,iQRL,1
77,13424,400000,0,816.4561673238262,0,0,0,quadruped-run,5,iQRL,1
78,13596,405000,0,838.2089414997317,0,0,0,quadruped-run,5,iQRL,1
79,13768,410000,0,845.5547036908567,0,0,0,quadruped-run,5,iQRL,1
80,13940,415000,0,830.8817757578508,0,0,0,quadruped-run,5,iQRL,1
81,14112,420000,0,843.7948960017063,0,0,0,quadruped-run,5,iQRL,1
82,14284,425000,0,851.0181270426372,0,0,0,quadruped-run,5,iQRL,1
