,episode,eval_total_time,frame,time,env,seed,agent,utd_ratio,_step,env_step,episode_reward
125,0,0,0,0,cheetah-run,64238,VQ-TD3,1,21555.0,640000.0,881.9086136690341
126,0,0,0,0,cheetah-run,64238,VQ-TD3,1,21726.0,645000.0,897.0620023828
127,0,0,0,0,cheetah-run,64238,VQ-TD3,1,21897.0,650000.0,894.6508975468575
128,0,0,0,0,cheetah-run,64238,VQ-TD3,1,22068.0,655000.0,879.4315845426172
129,0,0,0,0,cheetah-run,64238,VQ-TD3,1,22239.0,660000.0,895.3296185560524
130,0,0,0,0,cheetah-run,64238,VQ-TD3,1,22410.0,665000.0,719.7931170987106
131,0,0,0,0,cheetah-run,64238,VQ-TD3,1,22581.0,670000.0,887.323462684825
132,0,0,0,0,cheetah-run,64238,VQ-TD3,1,22752.0,675000.0,888.4413511559367
133,0,0,0,0,cheetah-run,64238,VQ-TD3,1,22923.0,680000.0,885.4044951345771
134,0,0,0,0,cheetah-run,64238,VQ-TD3,1,23094.0,685000.0,890.9461019300855
135,0,0,0,0,cheetah-run,64238,VQ-TD3,1,23265.0,690000.0,885.6212392080575
136,0,0,0,0,cheetah-run,64238,VQ-TD3,1,23436.0,695000.0,890.7651599828154
137,0,0,0,0,cheetah-run,64238,VQ-TD3,1,23607.0,700000.0,893.7611933007836
138,0,0,0,0,cheetah-run,64238,VQ-TD3,1,23778.0,705000.0,892.1273755423724
139,0,0,0,0,cheetah-run,64238,VQ-TD3,1,23949.0,710000.0,875.5424146294594
140,0,0,0,0,cheetah-run,64238,VQ-TD3,1,24120.0,715000.0,889.0595669873059
141,0,0,0,0,cheetah-run,64238,VQ-TD3,1,24291.0,720000.0,890.2223348729312
142,0,0,0,0,cheetah-run,64238,VQ-TD3,1,24462.0,725000.0,896.184227842465
143,0,0,0,0,cheetah-run,64238,VQ-TD3,1,24633.0,730000.0,901.2777508925647
144,0,0,0,0,cheetah-run,64238,VQ-TD3,1,24804.0,735000.0,805.4447667892409
145,0,0,0,0,cheetah-run,64238,VQ-TD3,1,24975.0,740000.0,816.391510423724
146,0,0,0,0,cheetah-run,64238,VQ-TD3,1,25146.0,745000.0,903.8227722458541
147,0,0,0,0,cheetah-run,64238,VQ-TD3,1,25317.0,750000.0,884.5003360021859
148,0,0,0,0,cheetah-run,64238,VQ-TD3,1,25488.0,755000.0,797.3775991690729
149,0,0,0,0,cheetah-run,64238,VQ-TD3,1,25659.0,760000.0,901.2375312507153
150,0,0,0,0,cheetah-run,64238,VQ-TD3,1,25830.0,765000.0,901.1451027136296
